,2035,2040,2050
28JAN11:00,90,91,97
28JAN12:00,90,91,97
28JAN13:00,90,91,97
28JAN14:00,90,91,97
28JAN15:00,107,128,119
28JAN16:00,150,151,156
28JAN17:00,150,151,156
28JAN18:00,150,151,156
28JAN19:00,148,151,156
28JAN20:00,141,151,156
28JAN21:00,141,151,156
28JAN22:00,141,151,156
28JAN23:00,141,150,156
29JAN00:00,148,151,136
29JAN01:00,148,151,136
29JAN02:00,148,151,136
29JAN03:00,148,151,136
29JAN04:00,148,151,136
29JAN05:00,148,151,136
29JAN06:00,148,151,136
29JAN07:00,148,151,136
29JAN08:00,148,151,136
29JAN09:00,134,143,133
29JAN10:00,111,98,109
29JAN11:00,111,98,109
29JAN12:00,111,98,109
29JAN13:00,111,98,109
29JAN14:00,117,98,109
29JAN15:00,134,120,132
29JAN16:00,134,120,132
29JAN17:00,134,120,132
29JAN18:00,134,120,132
29JAN19:00,115,108,120
29JAN20:00,106,104,108
29JAN21:00,97,100,108
29JAN22:00,97,100,107
29JAN23:00,97,100,107
30JAN00:00,98,100,108
30JAN01:00,97,100,108
30JAN02:00,97,100,107
30JAN03:00,97,100,107
30JAN04:00,97,100,108
30JAN05:00,100,102,108
30JAN06:00,107,107,114
30JAN07:00,117,108,114
30JAN08:00,103,98,105
30JAN09:00,88,85,56
30JAN10:00,83,74,53
30JAN11:00,81,74,53
30JAN12:00,81,74,53
30JAN13:00,81,74,53
30JAN14:00,83,74,53
30JAN15:00,93,93,57
30JAN16:00,102,95,66
30JAN17:00,102,95,57
30JAN18:00,102,95,57
30JAN19:00,102,95,57
30JAN20:00,97,95,56
30JAN21:00,91,95,56
30JAN22:00,90,89,56
30JAN23:00,90,89,54
31JAN00:00,90,89,56
31JAN01:00,90,89,56
31JAN02:00,90,89,56
31JAN03:00,90,95,56
31JAN04:00,93,95,56
31JAN05:00,95,95,56
31JAN06:00,102,95,56
31JAN07:00,102,95,57
31JAN08:00,90,80,56
31JAN09:00,67,61,53
31JAN10:00,64,60,53
31JAN11:00,64,60,53
31JAN12:00,64,60,53
31JAN13:00,64,60,53
31JAN14:00,64,60,53
31JAN15:00,68,62,53
31JAN16:00,84,64,56
31JAN17:00,84,64,56
31JAN18:00,84,64,56
31JAN19:00,84,63,54
31JAN20:00,84,62,54
31JAN21:00,84,62,53
31JAN22:00,68,61,53
31JAN23:00,65,60,53
01FEB00:00,65,60,53
01FEB01:00,64,60,53
01FEB02:00,64,60,53
01FEB03:00,64,60,53
01FEB04:00,64,60,53
01FEB05:00,64,60,53
01FEB06:00,65,60,53
01FEB07:00,65,61,53
01FEB08:00,64,60,53
01FEB09:00,62,59,52
01FEB10:00,60,59,50
01FEB11:00,60,59,49
01FEB12:00,60,59,49
01FEB13:00,60,59,50
01FEB14:00,61,59,52
01FEB15:00,64,60,53
01FEB16:00,64,60,53
01FEB17:00,64,60,53
01FEB18:00,64,60,53
01FEB19:00,64,60,53
01FEB20:00,64,60,53
01FEB21:00,64,60,53
01FEB22:00,64,60,53
01FEB23:00,64,60,53
02FEB00:00,62,60,52
02FEB01:00,62,60,52
02FEB02:00,62,60,52
02FEB03:00,62,60,52
02FEB04:00,62,60,52
02FEB05:00,62,60,52
02FEB06:00,62,60,52
02FEB07:00,62,60,52
02FEB08:00,62,60,52
02FEB09:00,62,59,52
02FEB10:00,62,59,52
02FEB11:00,62,59,52
02FEB12:00,62,59,52
02FEB13:00,62,59,52
02FEB14:00,62,59,52
02FEB15:00,62,60,52
02FEB16:00,62,60,52
02FEB17:00,62,60,52
02FEB18:00,62,60,52
02FEB19:00,62,60,52
02FEB20:00,62,60,52
02FEB21:00,62,60,52
02FEB22:00,62,60,52
02FEB23:00,62,60,52
03FEB00:00,62,60,52
03FEB01:00,62,60,52
03FEB02:00,62,60,52
03FEB03:00,62,60,52
03FEB04:00,62,60,52
03FEB05:00,62,60,52
03FEB06:00,66,60,52
03FEB07:00,70,61,53
03FEB08:00,66,60,52
03FEB09:00,62,60,52
03FEB10:00,62,60,52
03FEB11:00,62,60,52
03FEB12:00,62,60,52
03FEB13:00,62,60,52
03FEB14:00,64,60,52
03FEB15:00,89,86,70
03FEB16:00,134,164,143
03FEB17:00,134,164,143
03FEB18:00,134,164,143
03FEB19:00,134,164,143
03FEB20:00,134,164,143
03FEB21:00,134,164,143
03FEB22:00,134,164,143
03FEB23:00,134,164,143
04FEB00:00,134,164,143
04FEB01:00,134,164,143
04FEB02:00,134,164,143
04FEB03:00,134,164,143
04FEB04:00,134,164,143
04FEB05:00,134,164,143
04FEB06:00,134,164,143
04FEB07:00,134,164,143
04FEB08:00,134,164,143
04FEB09:00,101,108,112
04FEB10:00,101,108,112
04FEB11:00,101,108,112
04FEB12:00,101,108,112
04FEB13:00,101,108,112
04FEB14:00,101,108,112
04FEB15:00,134,166,143
04FEB16:00,156,167,143
04FEB17:00,156,167,143
04FEB18:00,156,167,143
04FEB19:00,156,167,143
04FEB20:00,156,167,143
04FEB21:00,156,167,143
04FEB22:00,156,167,143
04FEB23:00,156,167,143
05FEB00:00,156,154,143
05FEB01:00,155,154,143
05FEB02:00,154,154,143
05FEB03:00,155,154,143
05FEB04:00,156,154,143
05FEB05:00,156,154,143
05FEB06:00,156,154,143
05FEB07:00,156,154,143
05FEB08:00,134,144,130
05FEB09:00,98,91,93
05FEB10:00,89,90,93
05FEB11:00,89,90,93
05FEB12:00,89,90,93
05FEB13:00,89,90,93
05FEB14:00,89,90,93
05FEB15:00,101,94,95
05FEB16:00,106,112,115
05FEB17:00,107,112,115
05FEB18:00,106,112,115
05FEB19:00,106,112,115
05FEB20:00,105,112,115
05FEB21:00,104,112,115
05FEB22:00,101,112,115
05FEB23:00,100,111,115
06FEB00:00,101,112,116
06FEB01:00,101,112,116
06FEB02:00,101,112,116
06FEB03:00,103,112,116
06FEB04:00,107,112,116
06FEB05:00,107,112,116
06FEB06:00,107,112,116
06FEB07:00,107,112,116
06FEB08:00,107,98,113
06FEB09:00,90,90,94
06FEB10:00,90,90,94
06FEB11:00,90,90,94
06FEB12:00,90,90,94
06FEB13:00,90,90,94
06FEB14:00,101,98,113
06FEB15:00,186,168,160
06FEB16:00,192,168,160
06FEB17:00,192,168,160
06FEB18:00,192,168,160
06FEB19:00,192,168,160
06FEB20:00,192,168,160
06FEB21:00,180,168,160
06FEB22:00,180,168,160
06FEB23:00,180,168,160
07FEB00:00,192,168,160
07FEB01:00,189,168,160
07FEB02:00,189,168,160
07FEB03:00,192,168,160
07FEB04:00,192,168,160
07FEB05:00,192,168,160
07FEB06:00,192,168,160
07FEB07:00,192,168,160
07FEB08:00,192,168,160
07FEB09:00,192,168,160
07FEB10:00,180,160,150
07FEB11:00,180,158,150
07FEB12:00,180,158,150
07FEB13:00,180,158,150
07FEB14:00,180,159,150
07FEB15:00,192,168,160
07FEB16:00,192,168,160
07FEB17:00,192,168,160
07FEB18:00,192,168,160
07FEB19:00,180,168,160
07FEB20:00,135,149,150
07FEB21:00,109,109,139
07FEB22:00,105,103,113
07FEB23:00,92,94,94
08FEB00:00,92,98,100
08FEB01:00,92,94,87
08FEB02:00,92,93,87
08FEB03:00,92,93,86
08FEB04:00,92,93,85
08FEB05:00,92,93,78
08FEB06:00,98,98,78
08FEB07:00,103,99,83
08FEB08:00,98,96,71
08FEB09:00,85,80,57
08FEB10:00,85,69,57
08FEB11:00,85,69,57
08FEB12:00,85,69,57
08FEB13:00,85,69,57
08FEB14:00,85,69,57
08FEB15:00,85,72,57
08FEB16:00,100,98,87
08FEB17:00,105,101,93
08FEB18:00,102,98,93
08FEB19:00,100,98,93
08FEB20:00,100,98,93
08FEB21:00,98,98,87
08FEB22:00,90,92,87
08FEB23:00,88,92,87
09FEB00:00,89,92,87
09FEB01:00,89,92,87
09FEB02:00,89,92,87
09FEB03:00,89,93,90
09FEB04:00,93,101,93
09FEB05:00,107,106,93
09FEB06:00,107,106,93
09FEB07:00,107,106,93
09FEB08:00,107,106,93
09FEB09:00,85,85,72
09FEB10:00,85,85,72
09FEB11:00,85,85,72
09FEB12:00,85,85,72
09FEB13:00,85,85,72
09FEB14:00,88,91,85
09FEB15:00,115,112,114
09FEB16:00,116,112,114
09FEB17:00,116,112,114
09FEB18:00,116,112,114
09FEB19:00,116,112,114
09FEB20:00,116,112,114
09FEB21:00,109,109,114
09FEB22:00,85,89,57
09FEB23:00,68,63,54
10FEB00:00,63,60,53
10FEB01:00,62,60,53
10FEB02:00,62,60,53
10FEB03:00,62,60,53
10FEB04:00,62,60,53
10FEB05:00,62,60,53
10FEB06:00,62,60,53
10FEB07:00,62,60,53
10FEB08:00,62,60,52
10FEB09:00,62,60,52
10FEB10:00,62,60,52
10FEB11:00,62,60,52
10FEB12:00,62,60,52
10FEB13:00,62,60,53
10FEB14:00,62,60,53
10FEB15:00,62,60,53
10FEB16:00,62,60,53
10FEB17:00,62,60,53
10FEB18:00,62,60,53
10FEB19:00,62,60,53
10FEB20:00,62,60,53
10FEB21:00,62,60,53
10FEB22:00,62,60,53
10FEB23:00,62,60,53
11FEB00:00,62,60,53
11FEB01:00,62,60,53
11FEB02:00,62,60,53
11FEB03:00,62,60,53
11FEB04:00,62,60,53
11FEB05:00,62,60,53
11FEB06:00,62,60,53
11FEB07:00,64,60,53
11FEB08:00,62,60,53
11FEB09:00,62,60,52
11FEB10:00,62,60,52
11FEB11:00,62,60,52
